H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905246_LamaGlama	SRR11905247_LamaGlama	SRR11097120_LamaGlama	162357	164809	-0.007494666	-0.007494666	0.01110563	-0.6748531	
SRR11905246_LamaGlama	SRR11905248_LamaGlama	SRR11097120_LamaGlama	163679	168721	-0.01516847	-0.01516847	0.0110176	-1.376749	
SRR11905247_LamaGlama	SRR11905248_LamaGlama	SRR11097120_LamaGlama	156943	159623	-0.008465849	-0.008465849	0.01154411	-0.7333482	
SRR11905246_LamaGlama	SRR11905249_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	145413	238563	-0.2425933	-0.2425933	0.01092464	-22.20607	
SRR11905247_LamaGlama	SRR11905249_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	147285	238062	-0.2355721	-0.2355721	0.01175804	-20.03498	
SRR11905248_LamaGlama	SRR11905249_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	150196	238286	-0.2267544	-0.2267544	0.01111355	-20.40343	
SRR11905246_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	145432	239094	-0.2435778	-0.2435778	0.01076068	-22.63591	
SRR11905247_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	147030	238245	-0.236753	-0.236753	0.01170186	-20.23208	
SRR11905248_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	151004	239523	-0.2266655	-0.2266655	0.01085503	-20.88114	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	127170	127613	-0.001738735	-0.001738735	0.00481435	-0.3611566	
SRR11905246_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	144921	239344	-0.2457237	-0.2457237	0.01049422	-23.41515	
SRR11905247_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	146183	238260	-0.2395075	-0.2395075	0.01132923	-21.14067	
SRR11905248_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	149630	239041	-0.2300429	-0.2300429	0.01070384	-21.49163	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	135387	136690	-0.004789085	-0.004789085	0.004697653	-1.019464	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	135322	136153	-0.003061055	-0.003061055	0.003939037	-0.7771076	
SRR11905246_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	134315	224001	-0.2502986	-0.2502986	0.01029337	-24.31648	
SRR11905247_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	135895	223054	-0.2428172	-0.2428172	0.01101481	-22.04461	
SRR11905248_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	139331	224438	-0.2339589	-0.2339589	0.01031756	-22.67581	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	133473	135751	-0.008461356	-0.008461356	0.005024319	-1.68408	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	133315	135304	-0.00740454	-0.00740454	0.004573616	-1.618968	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	132758	133980	-0.004581275	-0.004581275	0.004200221	-1.090722	
SRR11905246_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	143856	233287	-0.2371276	-0.2371276	0.010353	-22.90423	
SRR11905247_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	145312	232324	-0.2304124	-0.2304124	0.01096902	-21.00574	
SRR11905248_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	149010	233428	-0.2207364	-0.2207364	0.01041537	-21.19334	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144598	140900	0.01295281	0.01295281	0.005377581	2.408668	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144777	140674	0.01437375	0.01437375	0.004684712	3.068224	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	143617	138654	0.01758239	0.01758239	0.004397176	3.998565	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	133540	127946	0.02139311	0.02139311	0.004342127	4.926874	
SRR11905246_LamaGlama	SRR11905268_LamaGlama	SRR11097120_LamaGlama	147887	152645	-0.01583192	-0.01583192	0.01062038	-1.490712	
SRR11905247_LamaGlama	SRR11905268_LamaGlama	SRR11097120_LamaGlama	162435	164808	-0.007251492	-0.007251492	0.01207381	-0.600597	
