H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905246_LamaGlama	SRR11905247_LamaGlama	SRR11097120_LamaGlama	162342	164211	-0.00572342	-0.00572342	0.01124142	-0.5091368	
SRR11905246_LamaGlama	SRR11905248_LamaGlama	SRR11097120_LamaGlama	163104	168757	-0.01703424	-0.01703424	0.01106638	-1.539278	
SRR11905247_LamaGlama	SRR11905248_LamaGlama	SRR11097120_LamaGlama	156586	160378	-0.0119635	-0.0119635	0.01154878	-1.035911	
SRR11905246_LamaGlama	SRR11905249_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	145443	238118	-0.2416174	-0.2416174	0.01094521	-22.07518	
SRR11905247_LamaGlama	SRR11905249_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	147198	237961	-0.2356507	-0.2356507	0.01183637	-19.90904	
SRR11905248_LamaGlama	SRR11905249_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	150684	237725	-0.2240962	-0.2240962	0.01112432	-20.14472	
SRR11905246_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	145227	238684	-0.243434	-0.243434	0.0107442	-22.65725	
SRR11905247_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	147055	238661	-0.237496	-0.237496	0.01174453	-20.22184	
SRR11905248_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	151049	238943	-0.2253739	-0.2253739	0.01095448	-20.57368	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905250_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	126849	127629	-0.003065098	-0.003065098	0.004810303	-0.6371944	
SRR11905246_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	144550	238422	-0.2451145	-0.2451145	0.01049986	-23.34455	
SRR11905247_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	146268	238422	-0.2395539	-0.2395539	0.01135408	-21.09849	
SRR11905248_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	149813	238287	-0.227967	-0.227967	0.01078126	-21.14474	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	135375	136622	-0.004584609	-0.004584609	0.004613498	-0.9937383	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905251_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	135732	136287	-0.002040299	-0.002040299	0.003899143	-0.5232685	
SRR11905246_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	134149	223283	-0.2493733	-0.2493733	0.0103045	-24.20042	
SRR11905247_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	135746	222788	-0.242772	-0.242772	0.01115219	-21.769	
SRR11905248_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	139661	223691	-0.2312633	-0.2312633	0.01044065	-22.15028	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	133172	135600	-0.009033679	-0.009033679	0.005248918	-1.721055	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	133487	135212	-0.006419823	-0.006419823	0.00445879	-1.439813	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11097120_LamaGlama	132982	134181	-0.004487897	-0.004487897	0.0042457	-1.057045	
SRR11905246_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	143464	233165	-0.2381681	-0.2381681	0.01030707	-23.10725	
SRR11905247_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	145380	233144	-0.2318585	-0.2318585	0.01090635	-21.25903	
SRR11905248_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	149025	233250	-0.2203257	-0.2203257	0.01040432	-21.17636	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144466	141535	0.01024822	0.01024822	0.005406326	1.895597	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144509	140805	0.01298219	0.01298219	0.004600708	2.82178	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	143207	138895	0.01528525	0.01528525	0.004391988	3.480258	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	133298	128379	0.01879798	0.01879798	0.004388315	4.283645	
SRR11905246_LamaGlama	SRR11905268_LamaGlama	SRR11097120_LamaGlama	147742	152389	-0.01548324	-0.01548324	0.01075268	-1.439943	
SRR11905247_LamaGlama	SRR11905268_LamaGlama	SRR11097120_LamaGlama	162172	165038	-0.008758901	-0.008758901	0.01201228	-0.7291624	
