H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905254_VicugnaPacos	SRR11905255_VicugnaPacos	SRR11905253_VicugnaPacos	237950	242548	-0.009569239	-0.009569239	0.0101545	-0.9423645	
SRR11905254_VicugnaPacos	SRR11905256_VicugnaPacos	SRR11905253_VicugnaPacos	238643	241219	-0.00536821	-0.00536821	0.01017278	-0.5277032	
SRR11905255_VicugnaPacos	SRR11905256_VicugnaPacos	SRR11905253_VicugnaPacos	240415	238414	0.004178945	0.004178945	0.009538863	0.4380968	
SRR11905254_VicugnaPacos	SRR11905257_VicugnaPacos	SRR11905253_VicugnaPacos	240063	250604	-0.021483	-0.021483	0.0109974	-1.953461	
SRR11905255_VicugnaPacos	SRR11905257_VicugnaPacos	SRR11905253_VicugnaPacos	238884	244859	-0.0123516	-0.0123516	0.01046776	-1.179966	
SRR11905256_VicugnaPacos	SRR11905257_VicugnaPacos	SRR11905253_VicugnaPacos	236587	244601	-0.01665461	-0.01665461	0.009892755	-1.683516	
SRR11905254_VicugnaPacos	SRR11905258_VicugnaPacos	SRR11905253_VicugnaPacos	237021	248768	-0.02418128	-0.02418128	0.01059131	-2.283125	
SRR11905255_VicugnaPacos	SRR11905258_VicugnaPacos	SRR11905253_VicugnaPacos	239799	246789	-0.01436534	-0.01436534	0.01075968	-1.335109	
SRR11905256_VicugnaPacos	SRR11905258_VicugnaPacos	SRR11905253_VicugnaPacos	237830	247066	-0.01904738	-0.01904738	0.0109018	-1.747178	
SRR11905257_VicugnaPacos	SRR11905258_VicugnaPacos	SRR11905253_VicugnaPacos	244174	245261	-0.002220928	-0.002220928	0.01138841	-0.1950166	
SRR11905254_VicugnaPacos	SRR11905259_VicugnaPacos	SRR11905253_VicugnaPacos	237611	246129	-0.01760863	-0.01760863	0.01129271	-1.559292	
SRR11905255_VicugnaPacos	SRR11905259_VicugnaPacos	SRR11905253_VicugnaPacos	241647	245751	-0.008420223	-0.008420223	0.01062425	-0.7925477	
SRR11905256_VicugnaPacos	SRR11905259_VicugnaPacos	SRR11905253_VicugnaPacos	239051	245113	-0.01252055	-0.01252055	0.01070569	-1.169523	
SRR11905257_VicugnaPacos	SRR11905259_VicugnaPacos	SRR11905253_VicugnaPacos	243473	241536	0.00399374	0.00399374	0.01093496	0.3652267	
SRR11905258_VicugnaPacos	SRR11905259_VicugnaPacos	SRR11905253_VicugnaPacos	245761	242716	0.006233661	0.006233661	0.01143777	0.5450066	
SRR11905254_VicugnaPacos	SRR11905260_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	166445	352635	-0.3586923	-0.3586923	0.01017763	-35.2432	
SRR11905255_VicugnaPacos	SRR11905260_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	166283	348010	-0.353353	-0.353353	0.009510115	-37.1555	
SRR11905256_VicugnaPacos	SRR11905260_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	167297	351164	-0.35464	-0.35464	0.009668916	-36.67836	
SRR11905257_VicugnaPacos	SRR11905260_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	171716	347483	-0.3385349	-0.3385349	0.009840629	-34.40176	
SRR11905258_VicugnaPacos	SRR11905260_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	171610	345972	-0.336878	-0.336878	0.01079074	-31.21917	
SRR11905259_VicugnaPacos	SRR11905260_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	168903	346570	-0.3446679	-0.3446679	0.009844996	-35.00945	
SRR11905254_VicugnaPacos	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	169500	348064	-0.3450085	-0.3450085	0.01044703	-33.02457	
SRR11905255_VicugnaPacos	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	169315	343272	-0.3393707	-0.3393707	0.00966655	-35.10774	
SRR11905256_VicugnaPacos	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	170878	346909	-0.339968	-0.339968	0.009919947	-34.27115	
SRR11905257_VicugnaPacos	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	174932	342916	-0.3243886	-0.3243886	0.009968992	-32.53976	
SRR11905258_VicugnaPacos	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	174880	341510	-0.3226825	-0.3226825	0.01100214	-29.32907	
SRR11905259_VicugnaPacos	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	171757	341643	-0.3309038	-0.3309038	0.009934381	-33.30895	
SRR11905260_VicugnaVicugnaVicugna	SRR11905262_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	124125	116285	0.03261096	0.03261096	0.004261537	7.652394	
SRR11905254_VicugnaPacos	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	183806	318767	-0.2685401	-0.2685401	0.01105975	-24.28084	
SRR11905255_VicugnaPacos	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	183555	314027	-0.2622121	-0.2622121	0.01049746	-24.97861	
SRR11905256_VicugnaPacos	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	184765	317222	-0.2638654	-0.2638654	0.0105849	-24.92847	
SRR11905257_VicugnaPacos	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	190145	314696	-0.2467133	-0.2467133	0.01097499	-22.47959	
SRR11905258_VicugnaPacos	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	189860	313078	-0.2449964	-0.2449964	0.01163686	-21.05349	
SRR11905259_VicugnaPacos	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	186437	313006	-0.2534203	-0.2534203	0.01073154	-23.61453	
SRR11905260_VicugnaVicugnaVicugna	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	168452	118653	0.1734522	0.1734522	0.005708865	30.38296	
SRR11905262_VicugnaVicugnaVicugna	SRR11905263_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	163533	121446	0.1476846	0.1476846	0.00579928	25.46602	
SRR11905254_VicugnaPacos	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	178128	335184	-0.305966	-0.305966	0.01108613	-27.59898	
SRR11905255_VicugnaPacos	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	177440	329866	-0.3004617	-0.3004617	0.0102053	-29.44173	
SRR11905256_VicugnaPacos	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	178256	332880	-0.3025105	-0.3025105	0.01032447	-29.30035	
SRR11905257_VicugnaPacos	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	183460	329856	-0.2851966	-0.2851966	0.01055313	-27.02483	
SRR11905258_VicugnaPacos	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	183571	328659	-0.2832478	-0.2832478	0.01153334	-24.55905	
SRR11905259_VicugnaPacos	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	180461	328971	-0.2915208	-0.2915208	0.01053555	-27.67019	
SRR11905260_VicugnaVicugnaVicugna	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	150357	121257	0.1071373	0.1071373	0.004793086	22.35248	
SRR11905262_VicugnaVicugnaVicugna	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	145647	124372	0.07879075	0.07879075	0.004809925	16.38087	
SRR11905263_VicugnaVicugnaVicugna	SRR11905264_VicugnaVicugnaVicugna	SRR11905253_VicugnaPacos	132593	153485	-0.07302903	-0.07302903	0.005911619	-12.35347	
SRR11905254_VicugnaPacos	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	217423	270007	-0.1078801	-0.1078801	0.01238438	-8.710985	
SRR11905255_VicugnaPacos	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	217124	265084	-0.09945915	-0.09945915	0.01175179	-8.463319	
SRR11905256_VicugnaPacos	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	218908	268883	-0.1024517	-0.1024517	0.01206055	-8.494776	
SRR11905257_VicugnaPacos	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	226007	267941	-0.08489558	-0.08489558	0.012439	-6.824953	
SRR11905258_VicugnaPacos	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	224493	265425	-0.08354868	-0.08354868	0.01309672	-6.379358	
SRR11905259_VicugnaPacos	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	220606	264526	-0.09053206	-0.09053206	0.01202082	-7.531271	
SRR11905260_VicugnaVicugnaVicugna	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	247305	113853	0.3695114	0.3695114	0.006812889	54.23711	
SRR11905262_VicugnaVicugnaVicugna	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	240047	114462	0.3542505	0.3542505	0.006737805	52.57655	
SRR11905263_VicugnaVicugnaVicugna	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	205573	122766	0.2521997	0.2521997	0.006544093	38.53853	
SRR11905264_VicugnaVicugnaVicugna	SRR11905265_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	223758	119496	0.3037459	0.3037459	0.006836395	44.43072	
SRR11905254_VicugnaPacos	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	221999	265319	-0.08889473	-0.08889473	0.01232382	-7.213242	
SRR11905255_VicugnaPacos	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	221179	259785	-0.08026796	-0.08026796	0.01207043	-6.649968	
SRR11905256_VicugnaPacos	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	224008	264786	-0.08342574	-0.08342574	0.01236511	-6.746867	
SRR11905257_VicugnaPacos	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	229580	262303	-0.06652598	-0.06652598	0.01265201	-5.258134	
SRR11905258_VicugnaPacos	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	228128	259768	-0.06484989	-0.06484989	0.01332447	-4.866978	
SRR11905259_VicugnaPacos	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	226175	260934	-0.07135775	-0.07135775	0.0123986	-5.755306	
SRR11905260_VicugnaVicugnaVicugna	SRR11905266_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	255009	112198	0.3889114	0.3889114	0.006628494	58.67267	
